A,B,C,D,E,F,U1,U2,Y
"(-4.891, 0.754]","(-0.017, 5.504]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(-3.3409999999999997, 0.462]","(0.0187, 3.585]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(-3.3409999999999997, 0.462]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-3.38, -0.00619]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-3.38, -0.00619]","(2.001, 27.073]"
"(0.754, 18.259]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-0.0311, 3.973]","(-0.00619, 4.024]","(2.001, 27.073]"
"(-4.891, 0.754]","(-5.79, -0.017]","(1.331, 327.691]","(0.0817, 3.589]","(0.462, 32.115]","(-3.972, 0.0187]","(-3.79, -0.0311]","(-0.00619, 4.024]","(-4.882000000000001, 2.001]"
"(-4.891, 0.754]","(-0.017, 5.504]","(-2.7399999999999998, 1.331]","(-3.629, 0.0817]","(0.462, 32.115]","(0.0187, 3.585]","(-3.79, -0.0311]","(-0.00619, 4.024]","(2.001, 27.073]"
